ghn_ward_id,ma_xa,ten_xa,ghn_district_id,ten_huyen,ghn_province_id,ten_tinh,region,buu_cuc_ma,buu_cuc_ten,am_name,am_phone,nhan_vien,sl_lay,sl_giao
250903,13894,Thị trấn Rạng Đông,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
170808,06865,Xã Hà Lâu,2019,Huyện Tiên Yên,230,Quảng Ninh,XBG,21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,,,,,
380106,23566,Phường Hội Thương,1546,Thành phố Pleiku,207,Gia Lai,TNG,20245000,Bưu cục 327A Cách Mạng Tháng 8-Pleiku-Gia Lai,,,,,
171303,,Xã Bình Dân,1920,Huyện đảo Vân Đồn,230,Quảng Ninh,XBG,1892,Bưu Cục Đảo Vân Đồn-Quảng Ninh,,,,,
250906,13933,Xã Nghĩa Bình,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
230715,04951,Xã Tân Vinh,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
280111,14773,Phường Lam Sơn,1616,Thành phố Thanh Hóa,234,Thanh Hóa,BTB,20329000,Bưu Cục Khu Phố 1-TP.Thanh Hóa-Thanh Hóa,,,,,
XãLongĐiềnĐông,,,,,,,TNB,20780000,Bưu Cục Quốc Lộ 1A-Khóm 5-Giá Rai-Bạc Liêu,,,,,
481102,26365,Xã Lâm San,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21684000,Bưu Cục Ấp 8-Xuân Tây-Cẩm Mỹ-Đồng Nai,,,,,
481106,26362,Xã Sông Ray,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21684000,Bưu Cục Ấp 8-Xuân Tây-Cẩm Mỹ-Đồng Nai,,,,,
250919,13918,Xã Nghĩa Sơn,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
170806,06877,Xã Đông Ngũ,2019,Huyện Tiên Yên,230,Quảng Ninh,XBG,21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,,,,,
440201,25837,Phường Chánh Phú Hòa,1696,Thị xã Bến Cát,205,Bình Dương,HCM,20800000,Bưu Cục 178 Đường DT741-Bến Cát-Bình Dương,,,,,
270713,14698,Xã Kim Đông,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
250912,13921,Xã Nghĩa Lạc,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
170811,06889,Xã Tiên Lãng,2019,Huyện Tiên Yên,230,Quảng Ninh,XBG,21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,,,,,
230702,05008,Xã Cao Dương,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
340907,20986,Xã Tam Hòa,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
340915,21007,Xã Tam Trà,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
120918,05887,Xã Vạn Phái,1990,Thị xã Phổ Yên,244,Thái Nguyên,DBB,21697000,Bưu Cục Đường 261-Bắc Sơn-Phổ Yên-Thái Nguyên,,,,,
270725,,Xã Xuân Thiện,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
800282,13960,Xã Phúc Thắng,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
270726,14671,Xã Yên Lộc,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
380117,23599,Xã Chư Á,1546,Thành phố Pleiku,207,Gia Lai,TNG,20245000,Bưu cục 327A Cách Mạng Tháng 8-Pleiku-Gia Lai,,,,,
1B2912,09019,Xã Tiền Phong,1581,Huyện Mê Linh,201,Hà Nội,HNO,21510000,Bưu Cục Thôn Đại Bái-Đại Thịnh-Mê Linh-HNO,,,,,
30309,11356,Phường Lê Lợi,1587,Quận Ngô Quyền,224,Hải Phòng,XBG,20061000,Bưu cục Tổ 12-Kênh Dương-Lê Chân-Hải Phòng,,,,,
340903,20984,Xã Tam Anh Nam,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
340906,20989,Xã Tam Hiệp,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
340905,20992,Xã Tam Hải,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
